target_a,target_b,replicated_endpoint_positive,docking_raw_column_z,docking_standard_centered,docking_within_ligand_ordinal,docking_heavy_atom_efficiency,experimental_DAVIS_centered,experimental_PKIS2_centered,experimental_PKIS1_centered,experimental_KiRHub_centered
AKT2,IGF1R,False,0.722162129101126,-0.10415345078483536,-0.10258752820144898,-0.07228082418493471,0.12419747961128762,0.16973666176323884,0.02116782786620208,0.06087994120520692
AKT2,JAK2,False,0.754699525413826,-0.12613159721817527,-0.13123560328847553,-0.056854335152902453,-0.14305193615857548,0.009230445437766209,0.15143193428672116,-0.23801841216891056
AKT2,KDR,False,0.5856812339967173,-0.11840143483094635,-0.0885311489128802,-0.11151658871625696,-0.24858227855429585,-0.37436148490411764,-0.0929824285776985,-0.4349422713611585
AKT2,KIT,False,0.7381024259951026,-0.09929106861493746,-0.07238347498719731,-0.06831256386970684,-0.4530902049542425,-0.35063708013137773,-0.4728761793297178,-0.3527393741122114
AKT2,LCK,False,0.8037794267004108,0.018335749195716747,-0.02289763684591457,-0.02675149327314307,-0.5385583830171793,-0.36936825990668243,-0.40540788380335646,-0.6845233601947582
AKT2,MAP2K1,False,0.8028047046216495,0.043933374236609625,-0.017429197147523126,-0.09086427685618882,-0.10713522623174954,-0.04067835535140086,0.2209783260886415,0.32100349014072954
AKT2,MAPK1,True,0.7658378312719986,-0.02733832437039511,-0.032010092987458515,0.020908379589325763,0.5153993286575238,0.35235816383524393,0.2688247410698677,0.7510759654298311
AKT2,MAPK14,False,0.7366481195208063,-0.11252800461965089,-0.1277790669805044,-0.12041518149968196,0.12032301752163102,-0.008642613288244632,0.06489791645103771,0.1129025743473273
AKT2,MAPKAPK2,True,0.8227188062398035,0.015344177681162821,0.01918012842767071,0.0017575657996347087,0.623611677991428,0.37003289502069436,0.5299210268560269,0.749260942979729
AKT2,MET,False,0.7083268138933435,-0.11310608259083377,-0.08506466426701831,-0.10593829201695337,-0.021569449618994097,-0.14008199034943808,-0.07504863345146522,0.08234799777931164
AKT2,PLK1,False,0.8019203191082909,-0.029717822200146297,-0.06642864486985668,-0.018135762777697705,0.21450271828726655,0.10158398787557187,0.10115143051227518,0.6138879937775833
AKT2,ROCK1,False,0.8376544439241239,0.18047397393471923,0.10912425792488449,0.08915073929573455,0.4777546071607989,0.2561747815246255,0.3059962701407519,0.7102169832253499
AKT2,SRC,False,0.8055497800654965,0.0465688019379736,0.0033711638552760582,0.0011719530801717548,-0.4094513491546161,-0.29217716211928935,-0.5035177753283872,-0.5206598032980576
CDK2,CSF1R,False,0.759759428257536,-0.03598072990576748,-0.07452672387191892,0.06722109529885364,-0.36516959215360745,-0.3627046473800616,0.0684209925071733,-0.3940418397828209
CDK2,EGFR,False,0.8367743061607287,0.06358308951019165,-0.047986139658784864,-0.015442286507393491,-0.010852366669977869,-0.10588341460108362,-0.223883136283895,0.04149675211399765
CDK2,FGFR1,False,0.6107945658193014,-0.36806804889353134,-0.3296876310894571,-0.3588507046249534,-0.08268485772048577,-0.017372903055597654,-0.24331477720592676,-0.33087461607530905
CDK2,IGF1R,False,0.7862094015269082,0.10556049798907428,0.060485395770323774,0.11215322484539947,0.12554061116200899,0.20935021347168448,-0.02303453240882478,0.20781123561289702
CDK2,JAK2,False,0.8380020432832028,0.20723322637199765,0.11327262552633091,0.24128750955430642,-0.06417654682645163,0.029398569938928726,0.008024906444546837,-0.007869886059185318
CDK2,KDR,False,0.5378102642342345,-0.32890752334357903,-0.2900149807792376,-0.31955060879629377,-0.2155783112326783,-0.17336813528614775,-0.009603812641431253,-0.45819141751674397
CDK2,KIT,False,0.7188170294851491,-0.26013390661006386,-0.25940244392120243,-0.26504441768485676,-0.41845953976131567,-0.2312067840260967,0.16689000819534494,-0.36481686518547723
CDK2,LCK,False,0.8320253985411507,0.09584871642637,0.05233282719351093,0.08159393628456205,-0.4518214064892807,-0.28710681778827046,-0.23264696498593057,-0.5271406397422052
