ligand_id,q_inferred_median_ratio,n_targets_used_for_q,median_absolute_target_ratio_deviation,inferred_torsions_continuous,inferred_torsions_nearest_integer,rotatable_bonds_frozen_descriptor,heavy_atoms_frozen_descriptor,q_from_rotatable_bonds
14872,1.1782975555555555,43,0.004214858237547858,3.0499068688942095,3,3.0,15.0,1.17538
14873,1.6423018749999998,43,0.005176051829268058,10.987031731098183,11,10.0,36.0,1.5846
14874,1.7597157438271605,42,0.004183314606741595,12.995479709667473,13,12.0,42.0,1.70152
14875,2.171573461538462,41,0.009225961538461558,20.04059975262508,20,19.0,45.0,2.11074
14876,2.2868271431623937,38,0.009044307027940235,22.01209618820379,22,21.0,51.0,2.22766
14877,1.468320112359551,43,0.004120900298676844,8.010949578507544,8,8.0,27.0,1.46768
14878,1.2922874390243908,37,0.003921630743050741,4.999785135552357,5,5.0,39.0,1.2923
14879,1.5899709803921567,23,0.004426346245814727,10.091874450772437,10,10.0,66.0,1.5846
14880,1.5528702720283853,42,0.004169357142856933,9.45724036996896,9,9.0,35.0,1.5261399999999998
14882,2.0235957333333325,41,0.008022656410255458,17.50933515794274,18,17.0,36.0,1.99382
14883,2.0241218055555557,41,0.007265659233177235,17.51833399855552,18,17.0,37.0,1.99382
14884,1.1779949333333337,43,0.003217064480874665,3.04473029992018,3,4.0,19.0,1.23384
14885,1.174693456790124,43,0.004604304403906134,2.988256188678138,3,4.0,20.0,1.23384
14886,1.1766822500000003,43,0.004163914383561673,3.0222759151556664,3,3.0,20.0,1.17538
14887,1.349881625905797,42,0.004096757686335328,5.984974784567176,6,6.0,30.0,1.35076
14888,1.17597975,43,0.00415551860465091,3.0102591515566197,3,4.0,20.0,1.23384
14889,1.2065645569620254,43,0.00421776187855416,3.5334340910370403,4,5.0,21.0,1.2923
14890,1.2919148578431372,42,0.005866032547699462,4.993411868681786,5,7.0,24.0,1.40922
14891,1.3236141016949152,43,0.004195898305084489,5.535650046098447,6,7.0,23.0,1.40922
14892,1.17364525,42,0.0035711499158957993,2.9703258638385237,3,5.0,26.0,1.2923
14893,1.2347751388888895,43,0.0039140611111108115,4.015996217736734,4,6.0,22.0,1.35076
14894,1.2904425480085349,42,0.004813070815552711,4.968226958750169,5,7.0,25.0,1.40922
14895,1.1162272,43,0.004163046153845995,1.9881491618200475,2,2.0,16.0,1.11692
14896,1.3229092307692314,43,0.005207964352719641,5.523592726124383,6,5.0,22.0,1.2923
14897,1.2631177380952374,43,0.0040580572441732965,4.500816594171013,5,4.0,21.0,1.23384
14898,1.2641063636363632,43,0.0041465858585856274,4.517727739246719,5,4.0,21.0,1.23384
14899,1.205164791666667,43,0.004032003205127976,3.5094901071958096,4,4.0,21.0,1.23384
14901,1.1467540625000003,43,0.004195374119717821,2.5103329199452675,3,2.0,14.0,1.11692
14902,1.262171341463415,43,0.002681331803911835,4.48462780471117,4,5.0,21.0,1.2923
14904,1.234811748366013,42,0.004284030167623021,4.016622448956775,4,3.0,25.0,1.17538
14906,1.2345861147186148,42,0.003758763023699263,4.012762824471687,4,3.0,30.0,1.17538
14907,1.2634400000000001,41,0.003158095238095626,4.506329113924052,5,4.0,31.0,1.23384
14908,1.2326585442260443,42,0.004513163265306486,3.9797903562443424,4,3.0,29.0,1.17538
14910,1.0861959704819277,42,0.0034343946078432275,1.4744435593898004,1,1.0,25.0,1.05846
14911,1.4641735820895514,43,0.0037171263933488685,7.940020220484971,8,8.0,22.0,1.46768
14912,1.3505663076923076,43,0.00443752792413088,5.9966867549146015,6,6.0,20.0,1.35076
14913,1.2944560215053766,43,0.0037660997067441304,5.036880285757384,5,5.0,22.0,1.2923
14914,1.3497769318181818,43,0.005026641963109757,5.98318391751936,6,6.0,23.0,1.35076
14915,1.3504371590909088,43,0.0035991566985649204,5.994477575964913,6,6.0,24.0,1.35076
14916,1.3496646913580252,43,0.003410497809638535,5.981263964386337,6,6.0,22.0,1.35076
14917,1.3500363809523808,43,0.003955157509157425,5.987621980027041,6,6.0,24.0,1.35076
14918,1.4097907142857145,43,0.0045252627257796885,7.0097624749523515,7,7.0,28.0,1.40922
14919,1.3503242028985505,43,0.004368185161151228,5.99254537972204,6,6.0,20.0,1.35076
14920,1.4631895753205126,42,0.003560046520643456,7.923188082800421,8,8.0,22.0,1.46768
14921,1.3508373450164293,32,0.005583656450463215,6.00132304167686,6,6.0,34.0,1.35076
14922,1.1761388036380596,42,0.006093493031358976,3.0129798774899004,3,3.0,23.0,1.17538
14925,1.4084314102564104,43,0.0034163362224626237,6.986510609928334,7,7.0,21.0,1.40922
14927,1.5273056404761902,42,0.004380151098900553,9.019939111806197,9,9.0,27.0,1.5261399999999998
14928,1.3509805,43,0.005118681818181647,6.003771809784467,6,5.0,21.0,1.2923
