scheme,repetition,raw_pr,residual_pr,pr_increase,residual_to_raw_ratio,raw_pc1_fraction,residual_pc1_fraction,raw_mean_squared_correlation,residual_mean_squared_correlation,n_ligands,n_targets
within_exact_heavy_atom_count,36,1.6478449459268674,9.464635586267102,7.816790640340234,5.743644515621283,0.7751370086123116,0.27109673602283885,0.5974925752381866,0.08436257795581416,12651,43
global,37,1.507393487045628,6.955134114415713,5.447740627370084,4.614013642879156,0.8111285231249044,0.33144101207655685,0.6553824274679815,0.12339245777232699,12651,43
within_exact_heavy_atom_count,37,1.6441591373569369,9.47213873108159,7.827979593724653,5.761083897455631,0.7760505628904608,0.270847521362274,0.5988853848203949,0.0842768918222518,12651,43
global,38,1.5065364064917521,6.9813293200335576,5.474792913541806,4.6340262936565,0.8113588105963095,0.33116412759984304,0.6557688251755188,0.12284012941219283,12651,43
within_exact_heavy_atom_count,38,1.6462532150270142,9.595595051941507,7.949341836914492,5.828747949800692,0.7755807785270341,0.26764025284735155,0.5980933004122795,0.08288625881443902,12651,43
global,39,1.512090186604356,6.94159354411266,5.429503357508304,4.590727197100019,0.809792207864836,0.33220961618327377,0.6532727910414537,0.12367959627556721,12651,43
within_exact_heavy_atom_count,39,1.6460012761878944,9.507794460718259,7.861793184530365,5.776298353023224,0.7756185383721118,0.2693908485596834,0.5981884895702995,0.08387155070669787,12651,43
global,40,1.5013453023575178,6.8480809930760635,5.346735690718546,4.561296446808556,0.812794923470294,0.33507546796894455,0.6581185590917686,0.12569360339423927,12651,43
within_exact_heavy_atom_count,40,1.6463803739141432,9.441286931482423,7.7949065575682805,5.734572083750298,0.7754975395341693,0.27096090551756685,0.5980452674836294,0.08463009159879323,12651,43
global,41,1.5120328288631595,7.01295852500007,5.50092569613691,4.638099379279251,0.8098318454804615,0.3296880107281381,0.6532984756108908,0.12217872354140635,12651,43
within_exact_heavy_atom_count,41,1.651609606907808,9.429983733127267,7.778374126219459,5.709571858680551,0.7742008826089849,0.2716979508328977,0.5960763859886942,0.08476007214989552,12651,43
global,42,1.5177216468405705,6.9116231680288385,5.393901521188268,4.553946491055663,0.8082092179957756,0.3327943057732907,0.650760497604337,0.1243191427742346,12651,43
within_exact_heavy_atom_count,42,1.644815798471047,9.486410336490264,7.841594538019217,5.767460614926268,0.7758918837434453,0.2699089585710501,0.5986367858387754,0.08411428377355691,12651,43
global,43,1.5035624470881959,6.991923697930747,5.488361250842551,4.65023831332801,0.8122067827835084,0.3300520509917086,0.6571129917748711,0.12261792134588025,12651,43
within_exact_heavy_atom_count,43,1.6490008058551686,9.44568917377421,7.796688367919042,5.728128900989648,0.7748395188330225,0.27115396819825,0.5970570762395759,0.08457955241078141,12651,43
global,44,1.5097077345281933,6.867566187007171,5.357858452478977,4.548937539326703,0.8104498322080758,0.33462460492670915,0.6543412867044597,0.12526942147191822,12651,43
within_exact_heavy_atom_count,44,1.648294527999366,9.488150306798373,7.839855778799007,5.756343994125073,0.7750445886184657,0.2700368956860801,0.5973231114193165,0.08409449232689346,12651,43
global,45,1.511355951526294,7.030096270355588,5.518740318829294,4.651515920690958,0.8100306441267558,0.32881877660123787,0.6536017258537966,0.12182283802977419,12651,43
within_exact_heavy_atom_count,45,1.6517343243537113,9.449532709919547,7.7977983855658355,5.720976170678629,0.7741797572202354,0.27126609769256216,0.5960295802849673,0.08453546585698009,12651,43
global,46,1.5086639088116507,6.943218528951572,5.434554620139922,4.602230151061696,0.8107661226368998,0.33185654110603324,0.6548104907807115,0.12364507804989944,12651,43
within_exact_heavy_atom_count,46,1.6523201438636608,9.416121679822247,7.763801535958586,5.698727159377419,0.7740133346438831,0.2726413293632358,0.5958098203059119,0.08491990414630202,12651,43
global,47,1.509462504538838,6.894921665633527,5.385459161094689,4.567799229792742,0.8105287924724512,0.3334147066417316,0.6544514603030374,0.12467795341773961,12651,43
within_exact_heavy_atom_count,47,1.6443337055760028,9.500836151980385,7.856502446404383,5.7779245902231775,0.7760029215284463,0.2695709651938634,0.5988192773503282,0.08395041515080828,12651,43
global,48,1.5110936238300163,6.89910925283398,5.388015629003963,4.565639841261129,0.810054617346609,0.33390552636805587,0.6537193252730221,0.1245878252234646,12651,43
within_exact_heavy_atom_count,48,1.650981256405833,9.47833097121437,7.827349714808538,5.741028818127583,0.7743596512914735,0.27063209744389033,0.5963123096983532,0.08420627843654958,12651,43
global,49,1.5159600985038675,6.89378932977474,5.377829231270873,4.54747412981276,0.8086983596588178,0.3340693114676924,0.65154434917166,0.12470234315276081,12651,43
within_exact_heavy_atom_count,49,1.6527228324154601,9.377202848907478,7.724480016492018,5.673790344629452,0.7739217811966259,0.27282123022086396,0.5956588490653293,0.0853711711488673,12651,43
global,50,1.5023340816698214,6.9941381475212845,5.491804065851463,4.655514530927373,0.8125477517796632,0.33003704255874255,0.6576697398916467,0.12257156020900696,12651,43
within_exact_heavy_atom_count,50,1.651169922644674,9.429423896233974,7.7782539735893,5.710753185917349,0.7743224302810334,0.27183662701646316,0.5962414532393382,0.08476651806493508,12651,43
global,51,1.5075484692578953,6.990272626280423,5.482724157022528,4.636847682729199,0.8110935832685848,0.3300296706572309,0.6553126037287722,0.12265250686442145,12651,43
