null_model,representation,weighting,metric,observed,null_mean,null_standard_deviation,null_ci95_low,null_ci95_high,favorable_excess_over_null_mean,favorable_standardized_excess,one_sided_empirical_p,favorable_direction
target_frequency_multiset,column_z,pair_weighted,top5,0.164,0.1294328,0.014161694633022413,0.102,0.158,0.03456720000000002,2.4408943206130007,0.011797640471905619,higher
target_frequency_multiset,column_z,compound_balanced,mean_rank_percentile,0.43180715177655193,0.5010167049980482,0.017250315514816646,0.46710398518759905,0.534570690512398,0.06920955322149625,4.01207462913074,0.0001999600079984003,lower
target_frequency_multiset,column_z,compound_balanced,top1,0.05836902863218653,0.03019324595579859,0.00970437988017304,0.012929724880382777,0.050926359459254146,0.02817578267638794,2.9034088756102503,0.004599080183963208,higher
target_frequency_multiset,column_z,compound_balanced,top3,0.11500493658388396,0.08186921231108071,0.015605471508584257,0.05249045910230121,0.11360085820612133,0.033135724272803244,2.1233401537772147,0.01999600079984003,higher
target_frequency_multiset,column_z,compound_balanced,top5,0.170366446419078,0.12474588182577656,0.018773689573635316,0.08972033302954355,0.16397376490468593,0.04562056459330144,2.430026575989001,0.011597680463907219,higher
target_frequency_multiset,two_way_residual,pair_weighted,mean_rank_percentile,0.45227906976744187,0.5012507953488372,0.012807231752053201,0.47548837209302325,0.526,0.04897172558139534,3.8237557131379623,0.0001999600079984003,lower
target_frequency_multiset,two_way_residual,pair_weighted,top1,0.056,0.032398,0.007617742579032196,0.018,0.048,0.023601999999999998,3.0982931958037545,0.004199160167966407,higher
target_frequency_multiset,two_way_residual,pair_weighted,top3,0.116,0.086276,0.012016418054502435,0.064,0.11,0.029724,2.4736156702589676,0.010597880423915218,higher
target_frequency_multiset,two_way_residual,pair_weighted,top5,0.164,0.1294328,0.014161694633022413,0.102,0.158,0.03456720000000002,2.4408943206130007,0.011797640471905619,higher
target_frequency_multiset,two_way_residual,compound_balanced,mean_rank_percentile,0.43180715177655193,0.5010167049980482,0.017250315514816646,0.46710398518759905,0.534570690512398,0.06920955322149625,4.01207462913074,0.0001999600079984003,lower
target_frequency_multiset,two_way_residual,compound_balanced,top1,0.05836902863218653,0.03019324595579859,0.00970437988017304,0.012929724880382777,0.050926359459254146,0.02817578267638794,2.9034088756102503,0.004599080183963208,higher
target_frequency_multiset,two_way_residual,compound_balanced,top3,0.11500493658388396,0.08186921231108071,0.015605471508584257,0.05249045910230121,0.11360085820612133,0.033135724272803244,2.1233401537772147,0.01999600079984003,higher
target_frequency_multiset,two_way_residual,compound_balanced,top5,0.170366446419078,0.12474588182577656,0.018773689573635316,0.08972033302954355,0.16397376490468593,0.04562056459330144,2.430026575989001,0.011597680463907219,higher
fixed_margin_bipartite_switch,absolute,pair_weighted,mean_rank_percentile,0.4181627906976745,0.46362506046511626,0.008103876003836814,0.44776686046511627,0.4793959302325581,0.045462269767441776,5.609941433693886,0.0001999600079984003,lower
fixed_margin_bipartite_switch,absolute,pair_weighted,top1,0.05,0.03635360000000001,0.006789829703128017,0.024,0.05,0.013646399999999996,2.009829494503112,0.036392721455708855,higher
fixed_margin_bipartite_switch,absolute,pair_weighted,top3,0.14,0.10575,0.010263379920546578,0.086,0.126,0.03425000000000002,3.3371072945895612,0.0015996800639872025,higher
fixed_margin_bipartite_switch,absolute,pair_weighted,top5,0.21,0.1572324,0.011783894189632495,0.134,0.18,0.0527676,4.477942448467085,0.0001999600079984003,higher
fixed_margin_bipartite_switch,absolute,compound_balanced,mean_rank_percentile,0.40168594274622427,0.4551207603288524,0.014179614383393718,0.42801320182945035,0.48324769712556587,0.053434817582628136,3.768425299718141,0.0001999600079984003,lower
fixed_margin_bipartite_switch,absolute,compound_balanced,top1,0.06006892230576441,0.03894509941520467,0.010614602563047758,0.019830670426065164,0.06139980158730158,0.021123822890559737,1.9900719565419582,0.03279344131173765,higher
fixed_margin_bipartite_switch,absolute,compound_balanced,top3,0.15797505126452493,0.10448591535657324,0.015871788040072183,0.07514922248803828,0.13684098029163816,0.05348913590795169,3.370076249311381,0.0005998800239952009,higher
fixed_margin_bipartite_switch,absolute,compound_balanced,top5,0.23612459178248651,0.15773213260423785,0.018861849991047338,0.12200294771018456,0.19496718595731752,0.07839245917824866,4.156138407179421,0.0001999600079984003,higher
