analysis,dataset,support,transform,deleted_target,estimate
geometry_concordance,PKIS2,full_experimental_panel,raw,PLK1,-0.1945815673564365
geometry_concordance,PKIS2,full_experimental_panel,raw,PTK2,-0.21524054464258383
geometry_concordance,PKIS2,full_experimental_panel,raw,ROCK1,-0.2479838339303757
geometry_concordance,PKIS2,full_experimental_panel,raw,SRC,-0.2096086638935909
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,ABL1,0.23141886128934905
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,AKT1,0.24807831096064772
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,AKT2,0.2779313029519698
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,CDK2,0.2641166616366396
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,CSF1R,0.314345199823293
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,EGFR,0.2901660783721958
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,FGFR1,0.31652342024345337
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,IGF1R,0.27809226381835916
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,JAK2,0.299772992691152
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,KDR,0.23564583360670444
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,KIT,0.2509126218688082
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,LCK,0.3754928333049028
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,MAP2K1,0.2870220927536993
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,MAPK1,0.2702156788130886
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,MAPK14,0.3018882284244643
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,MAPKAPK2,0.25828357980466
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,MET,0.29866726152204254
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,PLK1,0.26825790479689626
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,PTK2,0.2929671473622975
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,ROCK1,0.26322262899832477
geometry_concordance,PKIS2,full_experimental_panel,center_then_correlation,SRC,0.3684490458257337
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,ABL1,0.1772870220927537
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,AKT1,0.2119583426279486
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,AKT2,0.22390443823345454
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,CDK2,0.23452085711661355
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,CSF1R,0.2562663202508891
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,EGFR,0.23611471960879515
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,FGFR1,0.25115581274302684
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,IGF1R,0.224684748520516
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,JAK2,0.2359397621453284
geometry_concordance,PKIS2,full_experimental_panel,z_before_center,KDR,0.19025486928490512
