dataset,support_seed,partition,partition_seed,ligands,targets,chemical_groups,mean_squared_offdiagonal_target_correlation_before,mean_squared_offdiagonal_target_correlation_after,absolute_mean_squared_offdiagonal_target_correlation_reduction,relative_mean_squared_offdiagonal_target_correlation_reduction,mean_out_of_fold_target_r2,median_out_of_fold_target_r2,seed,groups,minimum_fold_ligands,median_fold_ligands,maximum_fold_ligands
DOCKSTRING-58,71,balanced_random_group_partition_11,20360841,15000,58,11905,0.039215493026784232,0.018211105887132394,0.021004387139651838,0.53561451147141803,0.16970259976355975,0.11753175903163865,20360841,11905,2999,3000,3002
DOCKSTRING-58,71,balanced_random_group_partition_12,20360842,15000,58,11905,0.039221284248203668,0.01821261372883777,0.021008670519365898,0.53564463586701894,0.16982315350330779,0.11804433361294503,20360842,11905,3000,3000,3000
DOCKSTRING-58,1701,deterministic_GroupKFold,,15000,58,11844,0.038379778207275485,0.017784224709815815,0.02059555349745967,0.5366251307193709,0.16711438148787963,0.11839189785114795,,,,,
DOCKSTRING-58,1701,balanced_random_group_partition_1,20460831,15000,58,11844,0.038399474384488978,0.01780579475546426,0.020593679629024718,0.53630108117686359,0.1668685046412107,0.11768011483805652,20460831,11844,2999,3000,3002
DOCKSTRING-58,1701,balanced_random_group_partition_2,20460832,15000,58,11844,0.038366782051377023,0.017794558150883003,0.02057222390049402,0.53619883661198686,0.16683336034450702,0.11811567463835909,20460832,11844,3000,3000,3000
DOCKSTRING-58,1701,balanced_random_group_partition_3,20460833,15000,58,11844,0.038378263073744465,0.017785723711593135,0.02059253936215133,0.53656777855168758,0.16690366737478401,0.11856000889901613,20460833,11844,3000,3000,3000
DOCKSTRING-58,1701,balanced_random_group_partition_4,20460834,15000,58,11844,0.038385574009282879,0.017786604471297585,0.020598969537985293,0.53663309901276435,0.16692929302318502,0.11784668487597177,20460834,11844,2999,3000,3001
DOCKSTRING-58,1701,balanced_random_group_partition_5,20460835,15000,58,11844,0.038414140779713557,0.017765966162980738,0.020648174616732819,0.53751494105100706,0.16728526195825319,0.11793142524023653,20460835,11844,3000,3000,3000
DOCKSTRING-58,1701,balanced_random_group_partition_6,20460836,15000,58,11844,0.03838470489704586,0.017783330205983355,0.020601374691062505,0.53670790869224616,0.16696714748748109,0.11790711536841281,20460836,11844,2999,3000,3002
DOCKSTRING-58,1701,balanced_random_group_partition_7,20460837,15000,58,11844,0.038385966613525474,0.017767448932123311,0.020618517681402163,0.5371368627757086,0.16710407829794965,0.11822860161837517,20460837,11844,3000,3000,3000
DOCKSTRING-58,1701,balanced_random_group_partition_8,20460838,15000,58,11844,0.038377529231611217,0.017785169116410593,0.020592360115200624,0.53657336799678301,0.16706135346367726,0.11844808556512015,20460838,11844,2999,3000,3002
DOCKSTRING-58,1701,balanced_random_group_partition_9,20460839,15000,58,11844,0.03839563769049472,0.017805268521037323,0.020590369169457397,0.53626845152137625,0.16685074137559597,0.11780774301136065,20460839,11844,3000,3000,3000
DOCKSTRING-58,1701,balanced_random_group_partition_10,20460840,15000,58,11844,0.038395561994131383,0.017789837180648513,0.02060572481348287,0.53666944155244756,0.16695827722134204,0.11778499801214432,20460840,11844,2999,3000,3001
DOCKSTRING-58,1701,balanced_random_group_partition_11,20460841,15000,58,11844,0.038378253978427965,0.017772307320085948,0.020605946658342016,0.5369172518876032,0.16703108545449266,0.11821387312031878,20460841,11844,2999,3000,3001
DOCKSTRING-58,1701,balanced_random_group_partition_12,20460842,15000,58,11844,0.038382975130169014,0.017799512875449851,0.020583462254719163,0.53626541936663386,0.16674067873439327,0.11762073565662684,20460842,11844,2999,2999,3004
DOCKSTRING-58,2701,deterministic_GroupKFold,,15000,58,11846,0.038493591163012271,0.017555285071746415,0.020938306091265856,0.54394265275475417,0.1690451971999328,0.11643702007974494,,,,,
DOCKSTRING-58,2701,balanced_random_group_partition_1,20560831,15000,58,11846,0.038500319840903359,0.017561079149876691,0.020939240691026668,0.54387186333918403,0.16898260671498738,0.11681768447150892,20560831,11846,2999,3000,3001
DOCKSTRING-58,2701,balanced_random_group_partition_2,20560832,15000,58,11846,0.038523143866511511,0.017586461811639972,0.020936682054871539,0.54348321433526536,0.16900236422571205,0.11647825767061187,20560832,11846,3000,3000,3000
DOCKSTRING-58,2701,balanced_random_group_partition_3,20560833,15000,58,11846,0.038523363371682245,0.017577834845413445,0.020945528526268801,0.54370975670482191,0.16886527672935034,0.11678617949382264,20560833,11846,2999,3000,3001
DOCKSTRING-58,2701,balanced_random_group_partition_4,20560834,15000,58,11846,0.038529869589432025,0.017574838094785685,0.02095503149464634,0.54386458396926129,0.16900128489754238,0.11693208027917756,20560834,11846,2999,2999,3003
